ticker,strategy,signal_date,entry_date,exit_date,signal,entry_price,exit_price,pnl_pct
GOOGL,momentum,2025-01-06,2025-01-07,2025-01-15,BUY,196.341,192.3367,-0.020395
GOOGL,momentum,2025-01-07,2025-01-08,2025-01-16,BUY,191.8188,193.3826,0.008153
GOOGL,momentum,2025-01-08,2025-01-10,2025-01-17,BUY,193.542,195.7633,0.011477
GOOGL,momentum,2025-01-14,2025-01-15,2025-01-23,SELL,192.3367,197.367,-0.026154
GOOGL,momentum,2025-01-17,2025-01-21,2025-01-28,BUY,198.2934,191.9981,-0.031748
GOOGL,momentum,2025-01-21,2025-01-22,2025-01-29,BUY,198.2834,194.7971,-0.017583
GOOGL,momentum,2025-01-22,2025-01-23,2025-01-30,BUY,197.367,197.2276,-0.000707
GOOGL,momentum,2025-01-24,2025-01-27,2025-02-03,BUY,191.6594,199.9071,0.043033
GOOGL,momentum,2025-01-27,2025-01-28,2025-02-04,SELL,191.9981,202.5965,-0.055201
GOOGL,momentum,2025-02-03,2025-02-04,2025-02-11,BUY,202.5965,184.3082,-0.09027
GOOGL,momentum,2025-02-04,2025-02-05,2025-02-12,BUY,190.3246,182.5052,-0.041084
GOOGL,momentum,2025-02-05,2025-02-06,2025-02-13,SELL,188.7607,183.601,0.027335
GOOGL,momentum,2025-02-06,2025-02-07,2025-02-14,SELL,190.3047,184.3381,0.031353
GOOGL,momentum,2025-02-07,2025-02-10,2025-02-18,SELL,186.6191,184.8759,0.009341
GOOGL,momentum,2025-02-10,2025-02-11,2025-02-19,SELL,184.3082,183.3519,0.005188
GOOGL,momentum,2025-02-11,2025-02-12,2025-02-20,SELL,182.5052,184.0791,-0.008623
GOOGL,momentum,2025-02-12,2025-02-13,2025-02-21,SELL,183.601,184.4277,-0.004503
GOOGL,momentum,2025-02-13,2025-02-14,2025-02-24,SELL,184.3381,181.28,0.016589
GOOGL,momentum,2025-02-21,2025-02-24,2025-03-03,SELL,181.28,171.2593,0.055278
GOOGL,momentum,2025-02-24,2025-02-25,2025-03-04,SELL,177.3454,165.5915,0.066277
GOOGL,momentum,2025-02-25,2025-02-26,2025-03-05,SELL,174.387,169.8548,0.02599
GOOGL,momentum,2025-02-26,2025-02-27,2025-03-06,SELL,173.3112,169.8647,0.019886
GOOGL,momentum,2025-02-27,2025-02-28,2025-03-07,SELL,168.0219,170.5919,-0.015295
GOOGL,momentum,2025-02-28,2025-03-03,2025-03-10,SELL,171.2593,167.7966,0.020219
GOOGL,momentum,2025-03-03,2025-03-04,2025-03-11,SELL,165.5915,164.4558,0.006858
GOOGL,momentum,2025-03-04,2025-03-05,2025-03-12,SELL,169.8548,166.1212,0.021981
GOOGL,momentum,2025-03-11,2025-03-12,2025-03-19,SELL,166.1212,161.3145,0.028935
GOOGL,momentum,2025-03-12,2025-03-13,2025-03-20,SELL,165.5827,161.125,0.026921
GOOGL,momentum,2025-03-13,2025-03-14,2025-03-21,SELL,162.8204,160.766,0.012617
GOOGL,momentum,2025-03-14,2025-03-17,2025-03-24,SELL,164.5755,166.6099,-0.012362
GOOGL,momentum,2025-03-18,2025-03-19,2025-03-26,SELL,161.3145,168.5346,-0.044758
GOOGL,momentum,2025-03-24,2025-03-25,2025-04-01,BUY,168.5146,153.1969,-0.090898
GOOGL,momentum,2025-03-25,2025-03-26,2025-04-02,BUY,168.5346,154.7227,-0.081953
GOOGL,momentum,2025-03-28,2025-03-31,2025-04-07,SELL,152.6883,141.1602,0.075501
GOOGL,momentum,2025-03-31,2025-04-01,2025-04-08,SELL,153.1969,150.8035,0.015623
GOOGL,momentum,2025-04-01,2025-04-02,2025-04-09,SELL,154.7227,144.0223,0.069159
GOOGL,momentum,2025-04-02,2025-04-03,2025-04-10,SELL,150.6939,156.1089,-0.035934
GOOGL,momentum,2025-04-03,2025-04-04,2025-04-11,SELL,147.6024,152.4789,-0.033038
GOOGL,momentum,2025-04-04,2025-04-07,2025-04-14,SELL,141.1602,159.5594,-0.130343
GOOGL,momentum,2025-04-07,2025-04-08,2025-04-15,SELL,150.8035,158.6918,-0.052308
GOOGL,momentum,2025-04-08,2025-04-09,2025-04-16,SELL,144.0223,152.6784,-0.060103
GOOGL,momentum,2025-04-14,2025-04-15,2025-04-23,BUY,158.6918,155.1815,-0.02212
GOOGL,momentum,2025-04-16,2025-04-17,2025-04-25,SELL,153.8651,164.6154,-0.069869
GOOGL,momentum,2025-04-21,2025-04-22,2025-04-29,SELL,148.48,159.8785,-0.076768
GOOGL,momentum,2025-04-22,2025-04-23,2025-04-30,SELL,155.1815,157.5449,-0.01523
GOOGL,momentum,2025-04-24,2025-04-25,2025-05-02,BUY,164.6154,162.96,-0.010056
GOOGL,momentum,2025-04-25,2025-04-28,2025-05-05,BUY,161.9827,162.5511,0.003509
GOOGL,momentum,2025-04-28,2025-04-29,2025-05-06,BUY,159.8785,161.7234,0.011539
GOOGL,momentum,2025-04-29,2025-04-30,2025-05-07,BUY,157.5449,163.6281,0.038613
GOOGL,momentum,2025-04-30,2025-05-01,2025-05-08,BUY,160.0081,154.5732,-0.033967
GOOGL,momentum,2025-05-05,2025-05-06,2025-05-13,BUY,161.7234,158.3527,-0.020842
GOOGL,momentum,2025-05-07,2025-05-08,2025-05-15,SELL,154.5732,165.3833,-0.069935
GOOGL,momentum,2025-05-08,2025-05-09,2025-05-16,SELL,153.7454,167.2681,-0.087955
GOOGL,momentum,2025-05-09,2025-05-12,2025-05-19,SELL,157.0563,164.0569,-0.044574
GOOGL,momentum,2025-05-14,2025-05-15,2025-05-22,BUY,165.3833,171.3767,0.03624
GOOGL,momentum,2025-05-15,2025-05-16,2025-05-23,BUY,167.2681,168.5944,0.007929
GOOGL,momentum,2025-05-16,2025-05-19,2025-05-27,BUY,164.0569,169.6914,0.034345
GOOGL,momentum,2025-05-19,2025-05-20,2025-05-28,BUY,165.9717,172.6831,0.040437
GOOGL,momentum,2025-05-20,2025-05-21,2025-05-29,BUY,163.2392,173.5208,0.062985
GOOGL,momentum,2025-05-22,2025-05-23,2025-06-02,BUY,168.5944,167.3778,-0.007216
GOOGL,momentum,2025-05-27,2025-05-28,2025-06-04,BUY,172.6831,166.2808,-0.037076
GOOGL,momentum,2025-05-28,2025-05-29,2025-06-05,BUY,173.5208,169.8709,-0.021034
GOOGL,momentum,2025-06-09,2025-06-10,2025-06-17,BUY,175.9275,175.4282,-0.002838
GOOGL,momentum,2025-06-10,2025-06-11,2025-06-18,BUY,179.492,175.7378,-0.020916
GOOGL,momentum,2025-06-11,2025-06-12,2025-06-20,BUY,175.9075,173.681,-0.012658
GOOGL,momentum,2025-06-12,2025-06-13,2025-06-23,BUY,172.1733,166.0128,-0.035781
GOOGL,momentum,2025-06-20,2025-06-23,2025-06-30,SELL,166.0128,180.5004,-0.087268
GOOGL,momentum,2025-06-23,2025-06-24,2025-07-01,SELL,166.6618,175.4682,-0.05284
GOOGL,momentum,2025-06-24,2025-06-25,2025-07-02,SELL,167.3707,175.2685,-0.047187
GOOGL,momentum,2025-06-25,2025-06-26,2025-07-03,SELL,172.1633,178.2239,-0.035203
GOOGL,momentum,2025-06-27,2025-06-30,2025-07-08,BUY,180.5004,177.5749,-0.016208
GOOGL,momentum,2025-06-30,2025-07-01,2025-07-09,BUY,175.4682,174.9789,-0.002788
GOOGL,momentum,2025-07-01,2025-07-02,2025-07-10,BUY,175.2685,175.3584,0.000513
GOOGL,momentum,2025-07-02,2025-07-03,2025-07-11,BUY,178.2239,176.5166,-0.00958
GOOGL,momentum,2025-07-03,2025-07-07,2025-07-14,BUY,178.783,180.73,0.01089
GOOGL,momentum,2025-07-14,2025-07-15,2025-07-22,BUY,182.5273,191.2038,0.047536
GOOGL,momentum,2025-07-15,2025-07-16,2025-07-23,BUY,182.9566,191.2038,0.045077
GOOGL,momentum,2025-07-16,2025-07-17,2025-07-24,BUY,181.8583,196.7253,0.08175
GOOGL,momentum,2025-07-17,2025-07-18,2025-07-25,BUY,185.1132,191.6831,0.035491
GOOGL,momentum,2025-07-18,2025-07-21,2025-07-28,BUY,185.9619,193.3505,0.039732
GOOGL,momentum,2025-07-21,2025-07-22,2025-07-29,BUY,191.2038,192.1324,0.004856
GOOGL,momentum,2025-07-22,2025-07-23,2025-07-30,BUY,191.2038,195.2975,0.02141
GOOGL,momentum,2025-07-23,2025-07-24,2025-07-31,BUY,196.7253,195.4073,-0.006699
GOOGL,momentum,2025-07-24,2025-07-25,2025-08-01,BUY,191.6831,188.7376,-0.015366
GOOGL,momentum,2025-07-25,2025-07-28,2025-08-04,BUY,193.3505,189.9957,-0.017351
GOOGL,momentum,2025-07-29,2025-07-30,2025-08-06,BUY,195.2975,194.1992,-0.005624
GOOGL,momentum,2025-07-30,2025-07-31,2025-08-07,BUY,195.4073,196.7552,0.006898
GOOGL,momentum,2025-08-07,2025-08-08,2025-08-15,BUY,196.915,203.5347,0.033617
GOOGL,momentum,2025-08-08,2025-08-11,2025-08-18,BUY,200.6292,203.8842,0.016224
GOOGL,momentum,2025-08-11,2025-08-12,2025-08-19,BUY,201.0585,202.716,0.008244
GOOGL,momentum,2025-08-12,2025-08-13,2025-08-20,BUY,203.8143,200.4195,-0.016656
GOOGL,momentum,2025-08-13,2025-08-14,2025-08-21,BUY,201.1883,199.441,-0.008685
GOOGL,momentum,2025-08-14,2025-08-15,2025-08-22,BUY,203.5347,202.4164,-0.005494
GOOGL,momentum,2025-08-25,2025-08-26,2025-09-03,BUY,207.189,225.8601,0.090116
GOOGL,momentum,2025-08-26,2025-08-27,2025-09-04,BUY,205.3818,229.2948,0.116432
GOOGL,momentum,2025-08-27,2025-08-28,2025-09-05,BUY,206.9294,231.8409,0.120386
GOOGL,momentum,2025-08-28,2025-08-29,2025-09-08,BUY,210.1844,235.3161,0.11957
GOOGL,momentum,2025-08-29,2025-09-02,2025-09-09,BUY,208.1176,234.0169,0.124446
GOOGL,momentum,2025-09-03,2025-09-04,2025-09-11,BUY,229.2948,239.7232,0.04548
GOOGL,momentum,2025-09-04,2025-09-05,2025-09-12,BUY,231.8409,240.2129,0.036111
GOOGL,momentum,2025-09-05,2025-09-08,2025-09-15,BUY,235.3161,244.5001,0.039028
GOOGL,momentum,2025-09-08,2025-09-09,2025-09-16,BUY,234.0169,251.9152,0.076483
GOOGL,momentum,2025-09-09,2025-09-10,2025-09-17,BUY,238.7438,251.0558,0.05157
GOOGL,momentum,2025-09-10,2025-09-11,2025-09-18,BUY,239.7232,251.5155,0.049191
GOOGL,momentum,2025-09-11,2025-09-12,2025-09-19,BUY,240.2129,253.0845,0.053584
GOOGL,momentum,2025-09-12,2025-09-15,2025-09-22,BUY,244.5001,254.2637,0.039933
GOOGL,momentum,2025-09-15,2025-09-16,2025-09-23,BUY,251.9152,252.8746,0.003808
GOOGL,momentum,2025-09-16,2025-09-17,2025-09-24,BUY,251.0558,251.4955,0.001752
GOOGL,momentum,2025-09-17,2025-09-18,2025-09-25,BUY,251.5155,244.2402,-0.028926
GOOGL,momentum,2025-09-18,2025-09-19,2025-09-26,BUY,253.0845,246.9085,-0.024403
GOOGL,momentum,2025-09-19,2025-09-22,2025-09-29,BUY,254.2637,247.688,-0.025862
GOOGL,momentum,2025-09-30,2025-10-01,2025-10-08,SELL,240.5926,244.7999,-0.017487
GOOGL,momentum,2025-10-06,2025-10-07,2025-10-14,BUY,248.1077,241.0723,-0.028356
GOOGL,momentum,2025-10-10,2025-10-13,2025-10-20,SELL,240.053,254.5235,-0.060281
GOOGL,momentum,2025-10-13,2025-10-14,2025-10-21,SELL,241.0723,254.5735,-0.056005
GOOGL,momentum,2025-10-15,2025-10-16,2025-10-23,BUY,251.6054,252.8146,0.004806
GOOGL,momentum,2025-10-16,2025-10-17,2025-10-24,BUY,250.5961,256.4123,0.023209
GOOGL,momentum,2025-10-17,2025-10-20,2025-10-27,BUY,254.5235,264.6469,0.039774
GOOGL,momentum,2025-10-20,2025-10-21,2025-10-28,BUY,254.5735,269.5137,0.058687
GOOGL,momentum,2025-10-21,2025-10-22,2025-10-29,BUY,254.2037,267.575,0.052601
GOOGL,momentum,2025-10-24,2025-10-27,2025-11-03,BUY,264.6469,281.9955,0.065554
GOOGL,momentum,2025-10-27,2025-10-28,2025-11-04,BUY,269.5137,276.5691,0.026178
GOOGL,momentum,2025-10-28,2025-10-29,2025-11-05,BUY,267.575,278.6877,0.041531
GOOGL,momentum,2025-10-29,2025-10-30,2025-11-06,BUY,291.3994,285.1435,-0.021469
GOOGL,momentum,2025-10-30,2025-10-31,2025-11-07,BUY,283.0249,283.0248,-0.0
GOOGL,momentum,2025-10-31,2025-11-03,2025-11-10,BUY,281.9955,284.2341,0.007938
GOOGL,momentum,2025-11-03,2025-11-04,2025-11-11,BUY,276.5691,287.5619,0.039747
GOOGL,momentum,2025-11-04,2025-11-05,2025-11-12,BUY,278.6877,291.4893,0.045935
GOOGL,momentum,2025-11-05,2025-11-06,2025-11-13,BUY,285.1435,282.1554,-0.010479
GOOGL,momentum,2025-11-10,2025-11-11,2025-11-18,BUY,287.5619,287.7318,0.000591
